,Longitude,Latitude,Natural Elevation
0,-74.255,40.505,0.0
1,-74.255,40.506,56.639
2,-74.255,40.507,40.948
3,-74.255,40.508,14.69
4,-74.254,40.502,0.0
5,-74.254,40.505,60.841
6,-74.254,40.506,63.864
7,-74.254,40.507,44.081
8,-74.254,40.508,29.009
9,-74.254,40.509,33.728
10,-74.253,40.503,36.835
11,-74.253,40.504,53.919
12,-74.253,40.505,55.971
13,-74.253,40.506,63.11
14,-74.253,40.507,56.397999999999996
15,-74.253,40.508,47.583
16,-74.253,40.509,33.261
17,-74.253,40.51,25.915
18,-74.253,40.511,26.595
19,-74.253,40.512,6.525
20,-74.252,40.502,34.759
21,-74.252,40.503,35.7685
22,-74.252,40.504,46.541
23,-74.252,40.505,53.304
24,-74.252,40.506,54.155
25,-74.252,40.507,52.314
26,-74.252,40.508,48.903
27,-74.252,40.509,39.495
28,-74.252,40.51,33.2455
29,-74.252,40.511,34.445
30,-74.252,40.512,21.784
31,-74.251,40.503,34.083
32,-74.251,40.504,42.7675
33,-74.251,40.505,46.686
34,-74.251,40.506,48.57
35,-74.251,40.507,50.442
36,-74.251,40.508,51.309
37,-74.251,40.509,45.846000000000004
38,-74.251,40.51,42.964
39,-74.251,40.511,41.336
40,-74.251,40.512,31.374
41,-74.251,40.513,16.434
42,-74.251,40.514,11.537
43,-74.25,40.501,23.972
44,-74.25,40.502,26.78
45,-74.25,40.503,31.3335
46,-74.25,40.504,39.686
47,-74.25,40.505,40.511
48,-74.25,40.506,44.179
49,-74.25,40.507,47.392
50,-74.25,40.508,53.1225
51,-74.25,40.509,49.0405
52,-74.25,40.51,47.235
53,-74.25,40.511,48.812
54,-74.25,40.512,33.001000000000005
55,-74.25,40.513,24.263
56,-74.25,40.514,11.396
57,-74.249,40.501,21.122
58,-74.249,40.502,24.194
59,-74.249,40.503,29.329
60,-74.249,40.504,35.547
61,-74.249,40.505,40.2075
62,-74.249,40.506,43.492
63,-74.249,40.507,51.69
64,-74.249,40.508,56.1065
65,-74.249,40.509,56.695
66,-74.249,40.51,52.148
67,-74.249,40.511,53.1355
68,-74.249,40.512,37.622
69,-74.249,40.513,32.549
70,-74.249,40.514,22.7015
71,-74.249,40.515,8.884
72,-74.249,40.516,0.0
73,-74.248,40.501,18.825499999999998
74,-74.248,40.502,21.319
75,-74.248,40.503,27.971
76,-74.248,40.504,36.339
77,-74.248,40.505,42.2605
78,-74.248,40.506,48.623
79,-74.248,40.507,55.073
80,-74.248,40.508,60.864
81,-74.248,40.509,60.422
82,-74.248,40.51,55.306
83,-74.248,40.511,53.961
84,-74.248,40.512,45.576
85,-74.248,40.513,37.263999999999996
86,-74.248,40.514,23.616
87,-74.248,40.515,19.598
88,-74.248,40.516,0.0
89,-74.247,40.501,20.801
90,-74.247,40.502,23.241
91,-74.247,40.503,27.4
92,-74.247,40.504,35.693
93,-74.247,40.505,44.465
94,-74.247,40.506,54.91
95,-74.247,40.507,65.13050000000001
96,-74.247,40.508,66.345
97,-74.247,40.509,66.31049999999999
98,-74.247,40.51,61.795
99,-74.247,40.511,58.3985
100,-74.247,40.512,51.587
101,-74.247,40.513,40.155
102,-74.247,40.514,29.728
103,-74.247,40.515,19.278
104,-74.247,40.516,6.02
105,-74.246,40.501,20.921
106,-74.246,40.502,22.6185
107,-74.246,40.503,27.545
108,-74.246,40.504,34.787
109,-74.246,40.505,47.205
110,-74.246,40.506,60.208
111,-74.246,40.507,70.577
112,-74.246,40.508,71.54050000000001
113,-74.246,40.509,71.8895
114,-74.246,40.51,69.43100000000001
115,-74.246,40.511,62.599000000000004
116,-74.246,40.512,61.069
117,-74.246,40.513,54.632
118,-74.246,40.514,26.919
119,-74.246,40.515,15.461500000000001
120,-74.246,40.516,10.599
121,-74.246,40.517,0.0
122,-74.245,40.5,16.778
123,-74.245,40.501,18.605
124,-74.245,40.502,24.613500000000002
125,-74.245,40.503,28.814500000000002
126,-74.245,40.504,36.065
127,-74.245,40.505,46.798
128,-74.245,40.506,62.8015
129,-74.245,40.507,68.315
130,-74.245,40.508,73.197
131,-74.245,40.509,76.2655
132,-74.245,40.51,75.5075
133,-74.245,40.511,71.0125
134,-74.245,40.512,63.5995
135,-74.245,40.513,48.79
136,-74.245,40.514,35.784
137,-74.245,40.515,11.314499999999999
138,-74.245,40.516,7.2105
139,-74.245,40.517,0.0
140,-74.244,40.499,8.333
141,-74.244,40.5,14.191
142,-74.244,40.501,19.743499999999997
143,-74.244,40.502,24.05
144,-74.244,40.503,29.698
145,-74.244,40.504,38.472
146,-74.244,40.505,46.394999999999996
147,-74.244,40.506,59.8485
148,-74.244,40.507,64.11
149,-74.244,40.509,76.949
150,-74.244,40.51,74.907
151,-74.244,40.511,71.863
152,-74.244,40.512,64.93549999999999
153,-74.244,40.513,53.893
154,-74.244,40.514,28.0815
155,-74.244,40.515,15.475
