,Longitude,Latitude,vv,vh
0,-73.995,40.771,138.0,71.0
1,-73.995,40.772,138.0,71.0
2,-73.994,40.771,228.0,107.0
3,-73.994,40.772,138.5,90.0
4,-73.994,40.773,739.0,235.5
5,-73.993,40.771,457.0,196.0
6,-73.993,40.773,282.0,189.0
7,-73.993,40.774,178.5,134.5
8,-73.993,40.775,99.0,134.0
9,-73.992,40.77,1322.0,665.0
10,-73.992,40.771,922.0,513.0
11,-73.992,40.774,144.0,116.0
12,-73.992,40.775,132.0,120.0
13,-73.992,40.776,117.0,69.0
14,-73.991,40.77,1806.0,839.0
15,-73.991,40.776,116.0,73.0
16,-73.99,40.769,741.0,431.0
17,-73.99,40.77,606.0,459.0
18,-73.989,40.769,1064.0,616.0
19,-73.989,40.77,832.0,485.0
20,-73.988,40.769,370.0,225.5
21,-73.988,40.77,458.0,382.0
22,-73.988,40.771,573.0,366.0
23,-73.988,40.78,118.0,72.0
24,-73.988,40.781,102.0,65.0
25,-73.987,40.77,532.0,446.0
26,-73.987,40.771,515.0,366.0
27,-73.987,40.772,677.0,744.0
28,-73.987,40.781,110.5,72.5
29,-73.987,40.782,131.0,73.0
30,-73.986,40.772,626.0,390.0
31,-73.986,40.773,593.0,339.0
32,-73.986,40.78,311.5,265.5
33,-73.986,40.781,186.5,143.0
34,-73.986,40.782,205.0,101.0
35,-73.986,40.783,170.0,86.5
36,-73.986,40.784,139.0,75.5
37,-73.985,40.773,576.0,325.0
38,-73.985,40.774,547.0,358.0
39,-73.985,40.775,348.0,276.0
40,-73.985,40.78,587.0,355.0
41,-73.985,40.781,239.0,140.0
42,-73.985,40.782,223.0,129.0
43,-73.985,40.783,232.0,126.0
44,-73.985,40.784,181.0,89.0
45,-73.985,40.785,182.5,97.0
46,-73.985,40.786,154.0,77.0
47,-73.984,40.774,438.0,279.0
48,-73.984,40.775,270.0,223.5
49,-73.984,40.776,637.0,322.5
50,-73.984,40.78,643.0,400.0
51,-73.984,40.781,597.0,446.5
52,-73.984,40.783,237.0,113.5
53,-73.984,40.784,277.0,146.0
54,-73.984,40.785,247.0,138.0
55,-73.984,40.786,233.0,107.0
56,-73.983,40.768,851.0,768.0
57,-73.983,40.772,263.0,122.0
58,-73.983,40.773,269.5,153.0
59,-73.983,40.774,501.0,352.0
60,-73.983,40.775,513.0,467.0
61,-73.983,40.776,975.0,343.5
62,-73.983,40.781,400.5,392.0
63,-73.983,40.782,741.0,483.0
64,-73.983,40.783,709.5,441.0
65,-73.983,40.784,217.0,131.0
66,-73.983,40.785,219.0,120.0
67,-73.982,40.767,1513.0,450.0
68,-73.982,40.768,1361.0,917.0
69,-73.982,40.769,607.0,383.0
70,-73.982,40.77,508.0,404.0
71,-73.982,40.771,886.5,518.0
72,-73.982,40.772,311.0,139.0
73,-73.982,40.773,474.0,286.0
74,-73.982,40.774,389.5,244.0
75,-73.982,40.775,1116.0,642.0
76,-73.982,40.776,501.5,317.0
77,-73.982,40.782,619.0,523.0
78,-73.982,40.783,463.0,278.0
79,-73.982,40.784,599.0,314.0
80,-73.981,40.768,511.0,337.0
81,-73.981,40.769,217.5,166.0
82,-73.981,40.77,674.5,415.0
83,-73.981,40.771,502.0,444.0
84,-73.981,40.784,481.0,254.0
85,-73.981,40.787,320.0,175.0
86,-73.981,40.788,295.0,129.0
87,-73.981,40.789,309.0,146.0
88,-73.98,40.77,298.0,212.0
89,-73.98,40.771,423.0,267.5
90,-73.98,40.786,489.0,294.0
91,-73.98,40.787,349.0,206.0
92,-73.98,40.788,428.0,196.5
93,-73.98,40.789,315.0,155.0
94,-73.98,40.79,420.0,225.0
95,-73.98,40.791,372.0,198.0
96,-73.979,40.771,414.0,200.0
97,-73.979,40.772,433.0,237.0
98,-73.979,40.786,214.0,164.5
99,-73.979,40.787,457.5,246.5
100,-73.979,40.79,550.0,248.0
101,-73.979,40.791,625.0,258.0
102,-73.978,40.771,209.0,108.0
103,-73.978,40.772,182.0,110.0
104,-73.978,40.786,391.0,267.0
105,-73.978,40.787,469.0,236.0
106,-73.978,40.79,360.0,258.0
107,-73.978,40.791,446.0,215.0
108,-73.977,40.771,244.0,115.0
109,-73.977,40.772,247.0,138.0
110,-73.977,40.786,608.5,388.5
111,-73.977,40.787,591.5,308.0
112,-73.977,40.79,648.0,346.0
