,Longitude,Latitude,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12
0,-73.995,40.771,1112.0,1761.0,1983.0,2101.0,1991.0,1993.5,2096.5,2198.0,2077.5,2048.0,1881.0
1,-73.995,40.772,1112.0,1418.0,1595.0,1721.5,1680.0,1720.0,1744.0,1765.5,1741.5,1841.0,1732.5
2,-73.994,40.771,1392.5,1409.0,1558.0,1782.0,1922.5,1872.5,1915.0,1922.0,1936.0,2080.5,1942.5
3,-73.994,40.772,1365.0,1411.0,1554.0,1674.0,1772.0,1817.0,1858.0,1725.0,1792.5,1904.5,1786.0
4,-73.994,40.773,1275.0,1359.5,1507.0,1617.5,1801.75,1736.25,1807.0,1757.0,1852.5,1861.0,1638.0
5,-73.993,40.771,1134.5,1077.0,1137.75,1197.5,1445.0,1448.0,1491.0,1380.0,1503.0,1656.5,1553.0
6,-73.993,40.773,996.5,840.25,959.25,893.5,1262.5,1714.0,1841.5,1583.0,1843.0,1708.5,1378.5
7,-73.993,40.774,928.5,813.0,915.0,885.5,1286.0,2255.5,2527.0,2437.0,2655.0,1804.0,1313.0
8,-73.993,40.775,797.5,1130.0,1247.0,1226.0,1019.0,971.5,979.0,1504.0,1039.5,1074.0,969.5
9,-73.992,40.77,1321.5,1277.0,1397.0,1526.0,1690.5,1803.5,1862.0,1756.0,1874.5,2058.5,1868.5
10,-73.992,40.771,1302.0,1277.0,1438.0,1480.0,1693.0,1785.0,1872.5,1796.0,1819.0,2024.0,1753.5
11,-73.992,40.774,928.5,1141.0,1230.0,1238.0,1612.0,1855.5,1809.0,1850.0,2045.5,1912.0,1584.0
12,-73.992,40.775,797.5,913.5,1116.0,1105.0,1432.5,1798.5,1802.25,1772.0,1820.0,1788.0,1495.0
13,-73.992,40.776,767.5,754.0,965.5,845.5,1375.5,2152.0,2332.0,2747.0,2392.0,1927.5,1529.5
14,-73.991,40.77,1275.5,1154.0,1307.0,1414.0,1668.0,1945.5,2015.5,1698.0,2001.5,2182.0,1912.5
15,-73.991,40.776,747.0,1117.0,1382.0,1406.0,1711.0,2007.25,2149.5,1974.0,2216.75,1927.5,1652.5
16,-73.99,40.769,1090.5,1043.0,1154.0,1231.0,1312.0,1357.5,1391.0,1436.0,1444.5,1723.5,1642.5
17,-73.99,40.77,1090.5,1072.0,1225.0,1370.0,1400.0,1449.5,1514.5,1496.0,1526.5,1868.5,1736.5
18,-73.989,40.769,1373.0,1336.0,1438.5,1645.5,1966.5,1860.0,1938.0,1754.0,1883.5,2492.5,2620.0
19,-73.989,40.77,1373.0,2094.0,2269.0,2442.0,2735.0,2732.5,2670.0,2501.0,2610.0,3514.0,3609.0
20,-73.988,40.769,1325.5,813.5,760.0,795.0,875.5,882.5,946.5,869.5,1041.0,1581.5,1567.5
21,-73.988,40.77,1193.5,1162.0,1226.0,1297.0,1229.0,1604.0,1736.5,1695.0,1758.0,1886.5,1678.5
22,-73.988,40.771,1001.0,1186.0,1365.0,1354.0,1565.0,1608.5,1714.0,1569.0,1737.0,2071.5,1795.5
23,-73.988,40.78,911.0,1316.0,1403.0,1695.0,1888.5,2056.5,2036.5,1923.0,2034.0,2127.5,2018.0
24,-73.988,40.781,823.5,910.0,1195.0,1295.0,1606.5,1771.5,1794.0,1733.0,1810.5,1856.5,1696.0
25,-73.987,40.77,1001.0,1186.0,1282.0,1354.0,1312.5,1424.5,1533.0,1559.0,1541.0,1765.5,1579.0
26,-73.987,40.771,1059.5,1183.0,1262.0,1392.0,1613.5,1683.5,1813.0,1682.0,1875.5,1931.5,1658.5
27,-73.987,40.772,1040.0,1075.0,1232.0,1295.0,1306.5,1627.0,1811.5,1656.0,1769.5,1720.5,1374.5
28,-73.987,40.781,823.5,1024.75,1162.0,1263.5,1387.25,1639.5,1830.5,1648.0,1855.25,1753.5,1439.0
29,-73.987,40.782,509.0,640.0,834.0,779.0,980.0,2032.0,2220.5,2929.0,2360.5,1659.5,1009.5
30,-73.986,40.772,1062.5,1106.5,1187.0,1195.0,1288.0,1536.0,1737.0,1760.0,1724.5,1686.0,1422.5
31,-73.986,40.773,1017.5,1086.0,1234.0,1303.0,1492.0,1840.0,2073.5,1992.0,2186.5,2111.5,1600.0
32,-73.986,40.78,1223.0,1346.0,1480.0,1552.0,1524.0,1816.5,1953.0,1876.0,1948.0,1797.5,1431.0
33,-73.986,40.781,758.5,797.0,913.5,874.0,1101.5,2115.5,2302.75,2070.0,2442.75,1880.0,1116.0
34,-73.986,40.782,502.0,676.0,761.0,716.5,1020.5,1858.0,2156.0,2465.0,2307.5,1615.0,1017.0
35,-73.986,40.783,450.0,570.0,709.5,643.5,975.0,2643.5,3140.5,3214.5,3272.5,1804.0,979.5
36,-73.986,40.784,425.0,317.5,486.0,269.0,756.5,2941.0,3928.5,3826.0,4137.5,1824.0,795.0
37,-73.985,40.773,1282.0,854.0,953.5,954.5,1038.0,1272.0,1307.5,1344.0,1398.0,1418.0,1252.0
38,-73.985,40.774,1124.5,931.0,1038.0,1099.0,1293.5,1403.0,1402.5,1480.0,1554.5,1749.0,1605.5
39,-73.985,40.775,1114.5,691.5,744.25,671.75,666.25,675.0,740.0,730.0,713.75,915.25,790.5
40,-73.985,40.78,1073.5,1288.0,1368.0,1509.0,1609.5,1640.0,1806.0,1696.0,1722.0,1842.0,1714.0
41,-73.985,40.781,643.0,741.5,806.0,817.0,984.0,1629.0,1856.5,1751.0,1942.5,1501.0,1101.5
42,-73.985,40.782,628.0,820.5,922.0,884.0,1061.5,1678.5,1945.5,1907.5,1915.5,1481.0,1048.5
43,-73.985,40.783,859.0,643.75,709.0,652.5,919.0,1689.5,2097.5,1423.0,2098.5,1468.0,1017.0
44,-73.985,40.784,447.0,408.0,585.5,435.0,883.5,2518.0,3319.0,3430.5,3374.0,1576.0,894.0
45,-73.985,40.785,530.0,475.5,599.0,445.5,938.5,2341.5,2972.5,3042.0,2977.0,1647.0,890.0
46,-73.985,40.786,769.25,1325.0,1500.0,1535.0,1687.0,2108.0,2331.0,2171.0,2366.5,2002.25,1546.0
47,-73.984,40.774,1293.5,1325.0,1352.0,1370.0,1532.0,1278.5,1453.0,1666.0,1559.5,1826.5,1627.5
