FID,Id,Status,PIN,X,Y,Area,Prev_Area,Pct_Change,Comment,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
6771,,New,090-11-09-34.00-1003,371328.46,1497569.72,331.16,0,0, ,86.3723925286,331.156407169,51.53515625,34.0771521053078
6772,,New,090-11-09-34.00-1003,371361,1497536.09,636.15,0,0, ,138.519101327,636.147748237,98.98828125,54.6494216274105
6773,,Existing,090-11-09-34.00-600,371238.4,1497351.9,2831.14,0,0, ,242.21061443,2831.13972175,440.58984375,95.541320246141
6774,,Existing,090-11-09-34.00-800,371446.86,1497145.86,2222.98,0,0, ,210.076703133,2222.97571643,345.9296875,82.8846918288666
6775,,New,090-11-09-34.00-1003,371207.38,1498046.37,1443.58,0,0, ,156.160447651,1443.57255759,224.66015625,61.6215225806132
6776,,New,095-10-09-03.21-100,372440.88,1493726.22,2140.72,0,0, ,201.286204617,2041.72850932,317.640625,79.3842401984018
6777,,New,095-10-09-03.21-100,372516.42,1493754.06,2045.66,0,0, ,197.348377021,1949.2628113,303.25390625,77.8420677493756
6778,,New,095-10-09-03.21-100,372580.7,1493778.98,2092.79,0,0, ,199.756990867,1990.94874599,309.7421875,78.781917857183
6779,,New,095-10-09-03.21-100,372520.19,1493863.08,2051.76,0,0, ,189.171764468,1947.07245911,302.91796875,74.6126910160957
6780,,New,095-10-09-03.21-100,372510.06,1494015.75,2176.03,0,0, ,200.78594099,2016.15839121,313.6640625,79.1898982913955
6781,,New,095-10-09-03.21-100,372580.59,1494040.63,2167.16,0,0, ,203.024428413,2073.70097622,322.6328125,80.0720003244442
6782,,Existing,095-10-09-03.21-101,372668.45,1494247,2625.01,0,0, ,230.706689201,2625.01094292,408.3984375,90.9712435779577
6783,,New,095-11-09-34.34-104,372589.99,1494441.78,2915.57,0,0, ,218.840504622,2806.88790145,436.71484375,86.3306607740369
6784,,Existing,095-11-09-34.34-125,372429.06,1494575.99,1659.65,0,0, ,172.784732169,1659.64155492,258.22265625,68.1087463694585
6785,,New,095-11-09-34.34-160,372815.75,1495015.27,1884.54,0,0, ,196.298163824,1884.5181059,293.21875,77.4235051715086
6786,,New,095-11-09-34.34-159,372838.28,1494926.25,492.24,0,0, ,88.7534723198,492.236487413,76.58984375,35.0080197103413
6787,,Changed,095-11-09-34.34-129,372807.04,1494571.64,1536.72,1721.03,-10.71, ,149.855743241,1323.66424301,205.94921875,59.1383593962012
6788,,Existing,095-11-09-34.34-128,372667.42,1494577.89,1758.2,0,0, ,184.332447314,1758.1935185,273.55078125,72.6747394769752
6789,,New,095-11-09-34.34-164,372581,1495070.13,2056.87,0,0, ,197.83066553,1948.01676997,303.09765625,78.0359028634042
6790,,New,095-11-09-34.34-163,372624.62,1495055.62,168.03,0,0, ,50.3357366985,150.872511151,23.47265625,19.8637798547858
6791,,New,095-11-09-34.34-156,372677.22,1494919.77,1921.28,0,0, ,195.135115997,1921.27788188,298.93359375,76.9693493705457
6792,,Existing,095-11-09-34.34-154,372581.76,1494828.65,1706.58,0,0, ,163.208108792,1588.33651467,247.12890625,64.3497344354778
6793,,New,095-11-09-34.34-185,372823.94,1495257.6,2053.35,0,0, ,215.174072906,2053.35124702,319.484375,84.8614573574204
6794,,New,095-11-09-34.34-184,372818.81,1495158.35,2078.8,0,0, ,216.733524366,2078.79023917,323.4453125,85.4751487645432
6795,,New,095-11-09-34.34-161,372816.76,1495089.35,1825.11,0,0, ,192.499027796,1825.10642581,283.97265625,75.9255841418348
6796,,New,095-11-09-34.34-159,372823.53,1494959.53,1932.17,0,0, ,193.674365336,1932.16519265,300.625,76.3354870983585
6797,,New,095-11-09-34.34-158,372817.51,1494866.69,1991.32,0,0, ,203.423958222,1991.31769349,309.828125,80.2298809849193
6798,,New,095-11-09-34.34-157,372817.76,1494793.77,2106.67,0,0, ,202.987882237,2012.22271678,313.08203125,80.0575893487911
6799,,New,095-11-09-34.34-131,372817.04,1494725.45,2136.1,0,0, ,204.826862128,2039.05529477,317.25390625,80.7844778560849
6800,,Existing,095-11-09-34.34-130,372807.43,1494657.51,1401.7,0,0, ,163.625078703,1401.69681013,218.08984375,64.5586449004714
6801,,New,095-11-09-34.34-129,372851.9,1494597.98,751.31,0,0, ,109.65260242,751.302926156,116.89453125,43.2509119410923
6802,,Existing,095-11-09-34.34-102,372810.58,1494500.69,1947.37,0,0, ,153.665615404,1404.64786429,218.546875,60.6393529363674
6803,,Existing,095-11-09-34.34-103,372666.23,1494448.65,1614.42,0,0, ,177.532005195,1614.4235534,251.1796875,70.0341051258641
6804,,New,095-11-09-29.00-200,360017.72,1502580.04,683.73,0,0, ,104.776693337,683.726527376,106.4453125,41.3466787226557
6805,,Existing,095-10-09-10.23-100,370697.62,1486987.08,6360.67,0,0, ,435.88850883,6360.67570387,989.05078125,171.95664536808
6806,,Existing,095-10-09-10.23-100,370656.92,1486958.04,5652.89,0,0, ,431.067716578,5652.9054095,879,170.057994262444
6807,,Existing,095-10-09-10.23-100,370395.12,1486496.25,3184.68,0,0, ,246.590908329,3184.70702278,495.1875,97.3139405708822
6808,,Existing,095-10-09-10.23-100,370428.01,1486380.95,966.02,0,0, ,127.127732002,966.02106915,150.203125,50.1419548389762
6809,,Existing,095-10-09-10.23-100,370328.23,1486383.27,755.79,0,0, ,111.260797639,755.786588135,117.515625,43.8589949417066
6810,,Existing,095-10-09-10.23-100,370342.92,1487013.76,386.93,0,0, ,80.427907786,386.930731321,60.16015625,31.7282145366476
6811,,New,090-11-09-27.00-300,370270.19,1500895.1,168.64,0,0, ,46.3342422545,168.640649717,26.25390625,18.2808952953395
6812,,New,095-10-09-03.00-115,374137.01,1493346.86,4554.39,0,0, ,343.272992049,4554.40051093,708.546875,135.473329069506
6813,,New,095-10-09-03.00-117,374079.84,1492945.92,4846.03,0,0, ,355.815473501,4846.00912352,753.8828125,140.258037188241
6814,,New,095-10-09-03.00-116,374147.02,1493186.87,7632.83,0,0, ,439.879380596,7632.83293204,1187.44140625,173.609919097456
6815,,Existing,095-10-09-03.00-300,374906.52,1493577.98,198559.56,0,0, ,2162.4081935,198559.495679,30890.93359375,852.895196701464
6816,,New,095-11-09-34.44-8800,374513.51,1495072.09,6640.03,0,0, ,358.44838258,6640.05816057,1033.15234375,141.388257557835
6817,,New,095-11-09-34.44-8600,374320.93,1494848.09,5179.22,0,0, ,302.17969896,5179.2281416,805.84765625,119.192061074208
6818,,New,095-11-09-34.44-8900,374223.58,1494559.1,19992.36,0,0, ,696.370869939,19992.359368,3110.55078125,274.665667048385
6819,,New,095-11-09-34.44-8400,374661.49,1494516.74,8387.89,0,0, ,446.426062373,8387.88534306,1305.046875,176.085860645526
6820,,New,095-11-09-34.44-7000,374705.42,1495052.98,2702.73,0,0, ,232.096105941,2702.71335123,420.515625,91.554597375498
6821,,New,095-11-09-34.44-7100,374752.84,1495015.04,2956.18,0,0, ,231.00170195,2956.18593259,459.97265625,91.1194246861091
6822,,New,095-11-09-34.44-7300,374844.34,1494937.19,2116.07,0,0, ,198.905422338,2116.05666994,329.23828125,78.459263221717
6823,,New,095-11-09-34.41-4100,374091.03,1495755.26,3865.37,0,0, ,262.193472358,3865.36170874,601.4609375,103.429913799535
6824,,New,095-11-09-34.41-3100,374456.35,1495897.9,3297.57,0,0, ,262.162215305,3297.56382697,513.109375,103.437409892781
6825,,New,095-11-09-34.41-3000,374529.79,1495897.1,3268.96,0,0, ,260.458500629,3268.9605163,508.66015625,102.763988704061
6826,,New,095-11-09-34.41-2700,374602.55,1495896.42,3249.41,0,0, ,259.897938909,3249.40181155,505.625,102.54311939986
6827,,New,095-11-09-34.41-2600,374675.77,1495897.41,3487.23,0,0, ,243.133787317,3487.22536735,542.6171875,95.9103644188547
6828,,New,095-11-09-34.41-2300,374747.28,1495897.08,3451.18,0,0, ,241.346055556,3451.17989444,537.015625,95.205164914077
6829,,New,095-11-09-34.41-3200,374468,1495759.56,3344.22,0,0, ,264.99944966,3344.21749241,520.37109375,104.556667012706
6830,,New,095-11-09-34.41-2900,374537.89,1495758.45,3322.42,0,0, ,263.131241615,3322.42420169,516.98046875,103.818951543362
6831,,New,095-11-09-34.41-2800,374608.22,1495758.26,3299.63,0,0, ,262.561513025,3299.62140136,513.4296875,103.594227177157
6832,,New,095-11-09-34.44-6100,374334.55,1495653.27,3083.19,0,0, ,252.859208391,3083.19427499,479.7421875,99.7363964075477
6833,,New,095-11-09-34.44-6500,374369.71,1495362.76,2584.38,0,0, ,209.351567608,2584.38186379,402.125,82.5814254244793
6834,,New, ,374420.13,1495316.59,2646.52,0,0, ,227.847669071,2646.52484816,411.79296875,89.875978930977
6835,,New,095-11-09-34.44-5500,374751.05,1495644.98,3023.81,0,0, ,230.976119459,3023.81185397,470.5,91.131282412544
6836,,Existing,095-11-09-35.32-2800,376961.91,1496064.38,1555.73,0,0, ,194.02503975,1555.73284007,242.08203125,76.4472771024603
6837,,Existing,095-11-09-35.32-2800,376995.3,1495970.26,3997.6,0,0, ,341.524515053,3997.60575569,622.05078125,134.612234897049
6838,,Existing,095-11-09-35.32-2800,377147.38,1495971.31,4040.81,0,0, ,348.194061313,4040.82865207,628.7734375,137.24269692296
