,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12
0,1483.0,1396.5,1632.5,1437.5,1859.5,3280.5,3816.0,3823.5,4010.0,2836.0,1952.5
1,1483.0,1321.5,1523.0,1333.0,1977.5,3413.0,3875.5,3969.0,4258.0,3308.0,2321.5
2,1483.0,1434.0,1687.0,1498.0,2257.5,3339.5,3855.5,4166.0,4106.5,3613.5,2633.0
3,1392.0,1437.5,1694.0,1579.5,2246.0,3365.0,3798.0,3947.0,4146.5,3881.5,2554.5
4,1392.0,1377.0,1636.5,1434.5,2122.5,3356.0,3881.5,3843.0,4143.0,3360.0,2231.5
5,1305.0,1246.5,1416.0,1228.5,1720.0,3159.5,3683.5,3778.0,3936.5,2621.5,1755.5
6,1305.0,1267.5,1483.5,1247.5,1716.0,3237.0,3833.5,4181.0,4132.0,2699.0,1800.0
7,1370.0,1347.5,1595.5,1440.5,2128.0,3414.0,3918.5,4144.0,4323.0,3418.0,2352.5
8,1370.0,1507.5,1788.0,1692.5,2281.5,3449.0,3885.0,3924.5,4186.0,3980.5,2706.0
9,1376.5,1494.5,1827.5,1636.5,2351.5,3959.0,4623.5,4497.5,4900.5,3704.5,2522.0
10,1296.5,1334.0,1596.0,1339.0,1924.0,3572.0,4301.0,4455.0,4564.5,2918.0,1942.5
11,1296.5,1283.0,1513.0,1263.0,1881.0,3657.5,4390.0,4422.5,4614.5,2786.5,1832.5
12,1304.0,1302.5,1494.0,1267.0,1878.5,3486.0,4027.5,4056.0,4255.5,2689.5,1796.0
13,1304.0,1290.0,1561.0,1274.5,1864.0,3445.0,3961.5,4182.5,4192.0,2675.5,1814.5
14,1304.0,1286.0,1503.0,1254.5,1817.5,3236.5,3783.0,4031.0,4068.0,2686.5,1862.5
15,1391.0,1471.5,1769.0,1588.5,2162.5,3662.5,4210.0,4381.5,4529.0,3749.5,2499.5
16,1391.0,1497.5,1791.5,1554.0,2172.0,3892.0,4492.0,4701.5,4803.0,3813.0,2518.5
17,1422.0,1527.5,1761.0,1593.5,2152.5,3727.0,4359.5,4554.0,4618.5,3684.5,2448.5
18,1422.0,1448.5,1677.0,1549.5,2142.5,3535.0,4095.5,4065.5,4397.5,3520.0,2415.0
19,1423.0,1464.5,1732.0,1583.0,2081.5,3496.5,4102.5,4168.5,4315.0,3521.0,2360.0
20,1423.0,1465.5,1779.0,1536.5,2095.5,3618.0,4284.5,5179.0,4694.0,3382.0,2255.0
21,1473.0,1528.5,1848.5,1623.5,2209.5,3888.0,4483.0,4691.0,4848.0,3872.5,2484.0
22,1473.0,1412.5,1678.0,1493.0,2120.0,3332.0,3815.0,3799.0,4109.0,3367.5,2374.5
23,1477.0,1420.0,1582.0,1412.5,2093.5,3543.5,4106.0,3580.5,4446.5,3181.0,2241.5
24,1400.5,1357.0,1615.0,1390.0,1893.5,3506.5,4189.0,4249.5,4348.5,2875.0,1998.0
25,1400.5,1301.0,1521.5,1300.0,1929.5,3520.5,4213.0,3968.5,4565.5,3137.0,2130.5
26,1400.5,1366.5,1609.5,1355.5,1988.0,3361.0,4005.5,4477.0,4231.5,3204.5,2187.5
27,1407.0,1271.0,1457.0,1250.0,1729.5,3393.5,4173.0,4646.0,4495.0,2664.0,1801.0
28,1407.0,1289.5,1500.5,1296.5,1852.0,3606.0,4291.5,4331.5,4645.5,2917.0,1953.0
29,1416.0,1324.5,1558.0,1325.0,2107.0,3639.0,4189.0,4396.0,4583.5,3355.0,2273.0
30,1416.0,1509.0,1795.0,1756.0,2243.5,3418.0,3925.5,3951.0,4230.5,3764.5,2528.5
31,1385.0,1486.0,1775.5,1755.5,2286.0,3233.0,3658.0,3866.5,4069.5,3928.5,2641.5
32,1385.0,1470.0,1747.0,1652.5,2241.0,3293.5,3715.5,3957.0,4142.5,3723.5,2461.5
33,1366.0,1293.0,1546.0,1314.5,1896.5,3427.0,3958.0,4204.5,4209.5,2818.0,1918.0
34,1366.0,1346.0,1608.5,1456.5,2043.5,3243.5,3696.5,3738.5,4067.5,3186.0,2217.0
35,1459.5,1531.0,1786.5,1814.0,2349.5,3376.0,3835.0,4048.0,4253.0,3627.0,2574.0
36,1459.5,1563.0,1891.0,1867.0,2458.5,3366.0,3818.0,3910.5,4117.5,3980.0,2841.0
37,1586.0,1639.5,1847.0,1829.0,2362.0,3124.5,3411.0,3569.5,3631.5,3675.5,2910.5
38,1586.0,1892.0,2079.0,2124.0,2450.5,3039.0,3299.0,3331.0,3453.5,3626.0,2964.0
39,1511.5,1549.5,1808.5,1794.5,2258.5,3277.0,3773.5,3840.5,4045.0,3661.5,2540.0
40,1511.5,1442.0,1749.0,1658.0,2233.0,3372.0,3923.5,4190.0,4245.5,3611.5,2415.0
41,1358.0,1331.0,1598.0,1332.0,2021.5,3694.5,4417.0,4556.0,4715.0,3143.5,2053.0
42,1358.0,1275.5,1471.5,1211.0,1879.0,3638.5,4307.0,4430.0,4615.0,2835.0,1865.5
43,1289.5,1260.5,1512.5,1232.5,1877.5,3699.0,4433.5,4611.5,4590.5,2738.0,1803.0
44,1289.5,1271.5,1548.5,1238.0,1894.0,3616.0,4392.0,4792.0,4639.5,2753.0,1804.5
45,1315.5,1295.5,1546.0,1235.5,1843.5,3572.0,4187.0,4505.5,4438.5,2714.5,1806.0
46,1315.5,1311.5,1636.0,1266.5,1939.0,3783.0,4694.0,4958.5,4847.0,2882.0,1883.5
47,1483.0,1364.5,1671.0,1370.5,1981.0,3287.0,3714.5,3892.0,3997.0,2841.0,2007.5
48,1483.0,1350.0,1623.5,1331.0,1979.5,3249.5,3807.5,4034.5,3956.5,2812.0,1974.5
49,1489.5,1368.0,1715.0,1395.5,2062.5,3770.0,4288.5,5024.0,4417.5,2832.0,1931.0
