,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12
0,1396.0,1656.5,1786.5,1820.0,1850.0,2240.0,2376.0,3141.0,2722.0,2545.0,2015.5
1,1396.0,1354.0,1493.5,1608.5,2024.0,2693.5,3001.5,2739.5,3107.0,3039.0,2484.0
2,1396.0,1458.5,1570.0,1702.5,2302.5,2978.0,3083.5,2996.5,3578.0,3485.0,2680.5
3,1306.0,1582.0,1773.0,2049.0,2482.0,3020.5,3242.0,3565.5,3625.0,3864.5,2737.0
4,1306.0,1588.0,1773.5,1994.5,2339.0,2762.5,2954.5,3303.0,3475.0,3423.5,2503.5
5,1271.0,1317.0,1417.0,1559.0,1843.0,2142.0,2225.0,2485.0,2645.0,2747.0,2191.0
6,1271.0,1314.0,1424.0,1518.5,1743.5,2168.0,2339.0,2657.5,2546.0,2722.5,2169.0
7,1302.0,1440.0,1617.0,1678.5,2105.5,3029.5,3425.0,3719.5,3750.5,3063.0,2287.5
8,1302.0,1574.0,1861.0,1982.0,2571.0,3730.5,4119.5,4636.0,4487.0,3475.0,2468.5
9,1357.0,1539.0,1876.5,1913.0,2647.0,4024.0,4458.0,4821.5,4870.5,3492.5,2510.5
10,1315.0,1469.5,1608.0,1867.5,2283.0,2962.5,3173.5,3946.5,3897.5,3254.5,2360.0
11,1315.0,1427.0,1570.5,1933.5,2367.0,2808.5,3162.0,3757.0,3631.0,3215.0,2400.0
12,1246.5,1356.5,1467.0,1703.0,1971.0,2233.0,2482.0,2835.0,2818.5,3076.5,2392.0
13,1246.5,1328.5,1429.0,1589.0,1924.0,2271.0,2454.0,2613.5,2754.5,2918.0,2291.5
14,1246.5,1261.5,1360.0,1473.5,1798.5,2195.5,2363.0,2717.0,2764.5,2587.0,2071.0
15,1289.5,1486.0,1712.5,1932.0,2334.5,3026.5,3266.5,3745.0,3768.0,3600.5,2612.5
16,1289.5,1559.0,1773.5,2018.5,2343.0,3016.5,3302.5,3593.0,3735.0,3820.0,2722.5
17,1345.5,1521.5,1774.5,1969.5,2198.0,2900.0,3207.5,3758.0,3522.0,3335.5,2457.0
18,1345.5,1386.5,1569.5,1647.5,2001.5,2663.0,3036.5,3310.0,3367.0,3230.5,2338.5
19,1357.5,1502.0,1751.5,1776.0,2258.0,3014.5,3348.5,4186.0,3646.0,3266.5,2342.0
20,1357.5,1554.5,1768.5,2402.0,2361.5,2776.5,3139.5,4211.5,3657.5,3232.0,2390.5
21,1379.5,1535.0,1735.5,2100.0,2694.0,3431.0,3868.5,4040.5,4424.5,3913.5,2912.5
22,1379.5,1358.5,1488.5,1565.0,2131.5,2914.0,3218.5,3610.5,3726.0,3008.0,2239.5
23,1379.0,1410.0,1522.0,1586.5,2176.5,2781.0,3162.5,2324.0,3220.5,2812.5,2295.5
24,1353.5,1390.0,1624.5,1735.0,2308.0,2915.5,3107.0,3369.5,3485.0,2937.5,2206.5
25,1353.5,1407.0,1622.5,1781.5,2391.5,2966.0,3321.5,3327.5,3758.5,3259.5,2353.5
26,1353.5,1472.0,1653.0,1776.5,2154.0,2748.5,3085.5,3316.5,3623.5,3230.0,2404.0
27,1372.0,1414.0,1577.0,1915.0,2093.5,2592.0,2956.5,4048.5,3464.5,2806.5,2115.0
28,1372.0,1339.0,1467.0,1732.0,2127.0,2726.5,2979.0,3043.5,3369.0,2962.5,2131.0
29,1399.5,1472.5,1617.5,1939.0,2416.5,2939.0,3356.5,3498.5,3812.0,3487.5,2509.5
30,1399.5,1659.0,1910.5,2142.0,2485.5,3086.0,3370.0,3972.5,3819.0,3757.5,2648.0
31,1415.0,1746.0,1988.5,2217.5,2696.5,3332.0,3587.5,3903.0,4049.0,4023.5,2787.0
32,1415.0,1624.5,1879.5,2150.0,2598.5,3200.5,3471.0,3613.5,3878.0,3954.0,2794.5
33,1361.0,1379.5,1475.5,1701.0,1978.5,2314.0,2545.0,2858.0,2974.0,3247.0,2466.5
34,1361.0,1574.0,1804.0,2036.0,2340.0,2702.5,2945.0,3427.5,3421.0,3645.5,2633.5
35,1407.0,1761.0,2033.5,2268.0,2661.5,3332.5,3641.0,3981.0,3956.0,3688.5,2608.0
36,1407.0,1897.0,2193.0,2508.0,2879.0,3541.5,3825.0,4261.5,4226.5,4033.5,2830.0
37,1451.5,1609.0,1870.5,2170.0,2352.5,2985.0,3270.5,3669.5,3582.0,3463.5,2671.0
38,1451.5,1573.5,1774.5,1949.0,2316.0,2783.0,2992.5,3423.0,3249.5,3170.0,2590.0
39,1408.5,1636.0,1916.0,2161.0,2483.0,3012.5,3328.0,3783.5,3698.0,3517.0,2643.0
40,1408.5,1560.5,1765.5,2089.0,2467.5,3050.0,3364.5,3559.5,3745.0,3741.5,2824.0
41,1306.5,1424.5,1664.5,1855.0,2099.0,2448.5,2586.5,2811.0,2872.5,2829.5,2325.0
42,1306.5,1221.5,1303.5,1355.0,1615.0,1959.0,2091.5,2201.0,2391.5,2432.5,2044.0
