Longitude,Latitude,datetime,UHI Index,Thermal,Red,Green,Blue,Near Infared,Building Height Only Proximity,Natural Proximity,BO1,BO2,BO3,BO4,BO5,BO6,BO7,BO8,B8A,B11,B12,vv,vh
-73.90916667,40.81310667,24-07-2021 15:53,1.030288903,34.03254758000003,0.11251,0.108165,0.0960925,0.170425,31.625333333333337,34.79911111111111,841.5,795.5,920.5,936.0,1212.0,1783.0,2042.0,2075.0,2186.0,1617.5,1305.5,396.0,199.0
-73.90918667,40.813045,24-07-2021 15:53,1.030288903,34.03254758000003,0.11251,0.108165,0.0960925,0.170425,31.625333333333337,34.79911111111111,841.5,795.5,920.5,936.0,1212.0,1783.0,2042.0,2075.0,2186.0,1617.5,1305.5,396.0,199.0
-73.909215,40.81297833,24-07-2021 15:53,1.023797758,29.48999900000001,0.1437224999999999,0.1394875,0.1152599999999999,0.1372875,31.625333333333337,34.79911111111111,841.5,795.5,920.5,936.0,1212.0,1783.0,2042.0,2075.0,2186.0,1617.5,1305.5,661.0,177.0
-73.90924167,40.81290833,24-07-2021 15:53,1.023797758,29.48999900000001,0.1437224999999999,0.1394875,0.1152599999999999,0.1372875,31.625333333333337,34.79911111111111,841.5,795.5,920.5,936.0,1212.0,1783.0,2042.0,2075.0,2186.0,1617.5,1305.5,661.0,177.0
-73.90925667,40.812845,24-07-2021 15:53,1.021634043,29.48999900000001,0.1437224999999999,0.1394875,0.1152599999999999,0.1372875,31.625333333333337,34.79911111111111,841.5,795.5,920.5,936.0,1212.0,1783.0,2042.0,2075.0,2186.0,1617.5,1305.5,421.0,185.0
-73.90928,40.81277667,24-07-2021 15:53,1.021634043,29.48999900000001,0.1437224999999999,0.1394875,0.1152599999999999,0.1372875,31.625333333333337,34.79911111111111,841.5,795.5,920.5,936.0,1212.0,1783.0,2042.0,2075.0,2186.0,1617.5,1305.5,421.0,185.0
-73.90931167,40.81271,24-07-2021 15:53,1.015142899,29.48999900000001,0.1437224999999999,0.1394875,0.1152599999999999,0.1372875,31.625333333333337,34.79911111111111,841.5,795.5,920.5,936.0,1212.0,1783.0,2042.0,2075.0,2186.0,1617.5,1305.5,499.0,95.0
-73.90934,40.81264333,24-07-2021 15:53,1.015142899,26.99826242000006,0.09843,0.09304,0.0716999999999999,0.09865,31.625333333333337,34.79911111111111,841.5,795.5,920.5,936.0,1212.0,1783.0,2042.0,2075.0,2186.0,1617.5,1305.5,413.0,137.0
-73.90936333,40.81256167,24-07-2021 15:53,1.012979184,26.99826242000006,0.09843,0.09304,0.0716999999999999,0.09865,31.625333333333337,34.79911111111111,841.5,795.5,920.5,936.0,1212.0,1783.0,2042.0,2075.0,2186.0,1617.5,1305.5,413.0,137.0
-73.90938333,40.812485,24-07-2021 15:53,1.012979184,27.70921057999999,0.1463625,0.1481775,0.13165,0.1410549999999999,42.28782703650001,34.72315,1177.0,1048.0,1182.0,1190.0,1802.0,1950.5,2057.5,1880.0,2109.5,2304.5,1898.5,554.0,186.0
-73.90939333,40.81240333,24-07-2021 15:53,1.010815469,27.70921057999999,0.1463625,0.1481775,0.13165,0.1410549999999999,42.28782703650001,34.72315,1177.0,1048.0,1182.0,1190.0,1802.0,1950.5,2057.5,1880.0,2109.5,2304.5,1898.5,554.0,186.0
-73.90942,40.81233,24-07-2021 15:53,1.010815469,27.70921057999999,0.1463625,0.1481775,0.13165,0.1410549999999999,42.28782703650001,34.72315,1177.0,1048.0,1182.0,1190.0,1802.0,1950.5,2057.5,1880.0,2109.5,2304.5,1898.5,412.0,200.0
-73.90945333,40.81223667,24-07-2021 15:53,1.010815469,24.950868440000026,0.094635,0.095515,0.0782999999999999,0.1076424999999999,42.28782703650001,34.72315,1177.0,1048.0,1182.0,1190.0,1802.0,1950.5,2057.5,1880.0,2109.5,2304.5,1898.5,278.0,198.0
-73.90947667,40.81216333,24-07-2021 15:53,1.010815469,24.950868440000026,0.094635,0.095515,0.0782999999999999,0.1076424999999999,42.28782703650001,34.72315,1177.0,1048.0,1182.0,1190.0,1802.0,1950.5,2057.5,1880.0,2109.5,2304.5,1898.5,261.0,147.0
-73.90949333,40.81209333,24-07-2021 15:53,1.010815469,24.950868440000026,0.094635,0.095515,0.0782999999999999,0.1076424999999999,42.28782703650001,34.72315,1177.0,1048.0,1182.0,1190.0,1802.0,1950.5,2057.5,1880.0,2109.5,2304.5,1898.5,473.0,157.0
-73.90952167,40.81203167,24-07-2021 15:53,1.010815469,24.950868440000026,0.094635,0.095515,0.0782999999999999,0.1076424999999999,38.78842857142856,33.823,1354.0,1222.0,1345.0,1431.0,1908.5,1950.5,1996.0,1712.0,2109.5,2300.5,1788.0,473.0,157.0
-73.90953,40.81198167,24-07-2021 15:53,1.010815469,24.950868440000026,0.094635,0.095515,0.0782999999999999,0.1076424999999999,38.78842857142856,33.823,1354.0,1222.0,1345.0,1431.0,1908.5,1950.5,1996.0,1712.0,2109.5,2300.5,1788.0,473.0,157.0
-73.90954833,40.81194,24-07-2021 15:54,1.010815469,21.837052220000032,0.0354275,0.042935,0.0358125,0.02682,38.78842857142856,33.823,1354.0,1222.0,1345.0,1431.0,1908.5,1950.5,1996.0,1712.0,2109.5,2300.5,1788.0,659.0,201.0
-73.90956333,40.8119,24-07-2021 15:54,1.010815469,21.837052220000032,0.0354275,0.042935,0.0358125,0.02682,38.78842857142856,33.823,1354.0,1222.0,1345.0,1431.0,1908.5,1950.5,1996.0,1712.0,2109.5,2300.5,1788.0,966.0,207.0
-73.90958167,40.81186333,24-07-2021 15:54,1.010815469,21.837052220000032,0.0354275,0.042935,0.0358125,0.02682,38.78842857142856,33.823,1354.0,1222.0,1345.0,1431.0,1908.5,1950.5,1996.0,1712.0,2109.5,2300.5,1788.0,966.0,207.0
-73.9096,40.81181167,24-07-2021 15:54,1.012979184,21.837052220000032,0.0354275,0.042935,0.0358125,0.02682,38.78842857142856,33.823,1354.0,1222.0,1345.0,1431.0,1908.5,1950.5,1996.0,1712.0,2109.5,2300.5,1788.0,808.0,165.0
